,wkt_point,saved
0,POINT (2.348392289685279 48.85349592771413),4363
1,POINT (2.343026268057727 48.88679593751019),1984
2,POINT (2.294499742198738 48.8582602179994),1852
3,POINT (2.349869924410214 48.85293763059633),1784
4,POINT (2.294499742198738 48.858260217999394),1362
5,POINT (2.3351459379132398 48.86106864303312),1198
6,POINT (2.295025455169565 48.87378443322409),906
7,POINT (2.3450124438480486 48.8553960445092),892
8,POINT (2.3351459379132393 48.86106864303312),782
9,POINT (2.295034842901188 48.87377825872515),775
10,POINT (2.3266849095127355 48.86366781777814),746
11,POINT (2.331727462498307 48.87202996280281),731
12,POINT (2.336365001919603 48.84671428598931),707
13,POINT (2.332407402488656 48.8840789091532),682
14,POINT (2.32652531807517 48.859918998929025),663
15,POINT (2.3460786219394123 48.84618828437653),638
16,POINT (2.3524394806656233 48.86052338150834),613
17,POINT (2.336365001919603 48.846714285989314),515
18,POINT (2.32652531807517 48.85991899892903),483
19,POINT (2.3324074024886556 48.884078909153196),458
20,POINT (2.295034842901188 48.87377825872517),406
21,POINT (2.3322947497091775 48.83374355772007),404
22,POINT (2.3319648379979014 48.87143277608045),373
23,POINT (2.336953746802749 48.84856613248645),361
24,POINT (2.3385201568791274 48.88481439975516),343
25,POINT (2.3460249777587023 48.85594930336023),343
26,POINT (2.297831045820047 48.85616372261058),341
27,POINT (2.3795981882482664 48.836098751344124),338
28,POINT (2.3655434129055095 48.85561664287016),338
29,POINT (2.335855382202979 48.86101394068868),310
30,POINT (2.337817418111996 48.865006172490574),305
31,POINT (2.3219789737610483 48.84211246717101),301
32,POINT (2.342049943969016 48.84874145864556),300
33,POINT (2.287193404787729 48.86304494570078),294
34,POINT (2.3354105825380316 48.861732124773255),284
35,POINT (2.306357788341927 48.87065298239194),283
36,POINT (2.349302637199344 48.85336561154639),281
37,POINT (2.321249412903569 48.865548738529064),281
38,POINT (2.33263002583854 48.854143909794566),274
39,POINT (2.347111272417834 48.8525749469686),274
40,POINT (2.332202213497468 48.87365565066009),268
41,POINT (2.324484156999617 48.87003019725553),257
42,POINT (2.3329076344736563 48.86172683107079),257
43,POINT (2.315120565258866 48.86612394032807),252
44,POINT (2.3734800694397222 48.84480529740057),248
45,POINT (2.321249412903569 48.86554873852905),248
46,POINT (2.343122827582988 48.886110741747174),243
47,POINT (2.3226589137513827 48.86376486513751),237
48,POINT (2.31253893906279 48.85500161221687),234
49,POINT (2.2887329927737596 48.861995044625324),233
50,POINT (2.3122666948457464 48.8661512887152),230
51,POINT (2.28873299277376 48.86199504462533),228
52,POINT (2.3626171228484623 48.85719345164617),225
53,POINT (2.3354105825380316 48.861732124773276),222
54,POINT (2.330634462316582 48.87379060772225),217
55,POINT (2.315120565258866 48.866123940328066),213
56,POINT (2.352526652459261 48.85642667171324),203
57,POINT (2.2962947001299963 48.859706017626046),198
58,POINT (2.337452637683242 48.88260260400455),198
59,POINT (2.3122666948457464 48.866151288715194),192
60,POINT (2.340793329036188 48.88653843904535),185
61,POINT (2.333195971944889 48.86795713139486),183
62,POINT (2.3329331154594684 48.87343513180124),181
63,POINT (2.334486114490687 48.88191294114567),181
64,POINT (2.3135622018095887 48.86373310420426),178
65,POINT (2.3322022134974674 48.87365565066009),177
66,POINT (2.3483906861274875 48.85349444633242),174
67,POINT (2.3428170557530024 48.86281555743018),174
68,POINT (2.341572510760813 48.88670510772363),174
69,POINT (2.3458962317250496 48.8461238576247),171
70,POINT (2.3348576004420067 48.850982990675774),168
71,POINT (2.312583195511877 48.85560428938765),167
72,POINT (2.2895135156028914 48.86130950909666),165
73,POINT (2.3244023496240516 48.85102534937011),165
74,POINT (2.294969128779826 48.873953790611814),164
75,POINT (2.31910901009374 48.840062076858736),159
76,POINT (2.3396466846737667 48.88798552793117),159
77,POINT (2.263325767690887 48.87665461063986),156
78,POINT (2.316484021518269 48.8704365669061),156
79,POINT (2.3226589137513827 48.863764865137505),155
80,POINT (2.354493605751496 48.88114742187428),154
81,POINT (2.2895135156028914 48.86130950909664),152
82,POINT (2.3458962317250496 48.84612385762468),148
83,POINT (2.3164840215182685 48.8704365669061),148
84,POINT (2.3290559822995647 48.87387352233806),146
85,POINT (2.3135622018095887 48.863733104204265),146
86,POINT (2.3367758269367775 48.86341431742435),145
87,POINT (2.3336546296898746 48.884920224850894),144
88,POINT (2.344607430283787 48.855653703299424),142
89,POINT (2.3838038920149387 48.879543144750606),138
90,POINT (2.3470468994009934 48.85323854129566),138
91,POINT (2.336900102622053 48.86071219442389),138
92,POINT (2.333064543702193 48.85406978667319),136
93,POINT (2.3317878122015827 48.873392792069104),135
94,POINT (2.3493026371993437 48.85336561154639),134
95,POINT (2.3294368559825216 48.86747281554726),134
96,POINT (2.3621772405667514 48.85970106648615),133
97,POINT (2.352261113764797 48.860323980179366),132
98,POINT (2.306880819103725 48.86650505198889),131
99,POINT (2.311877774535702 48.85703815539306),130
